,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,00562e78e0b34102,"Yeah, let's merge the content. (Not sure if Devil's Canyon is the same type of codename.)",0,0,0,0,0,0
1,00ef397f0d9e599a,REDIRECT Talk:A Voice Within (album),0,0,0,0,0,0
2,00f0a2af234e1950,"The discussion of when there first were outdoor trees with electric lights is very strange. 1956? are you kidding? and some obscure town in NC? I don't think this makes much sense, especially since the sentences immediately preceding these establish that other cities had electrically lighted, outdoor Christmas trees in the early years of the 20th century. The article cited for the North Carolina town, if read carefully, really only states that the tradition of having outdoor lighted trees IN THAT SPECIFIC TOWN began in 1956, not that the town claims it was the first place to have such trees. I am old enough to have been around in 1956 (though I was a small boy) and I can tell you that we and our neighbors in Southern California had lighted, outdoor trees prior to 1956, and no one thought it remarkable or unusual. The history here is questionable, to say the least.",0,0,0,0,0,0
3,00b984b355cc9754,I'm focussing on doing science at the moment (leading the revolution!).,0,0,0,0,0,0
4,0006f16e4e9f292e,"Before you start throwing accusations and warnings at me, lets review the edit itself-making ad hominem attacks isn't going to strengthen your argument, it will merely make it look like you are abusing your power as an admin. 
Now, the edit itself is relevant-this is probably the single most talked about event int he news as of late. His absence is notable, since he is the only living ex-president who did not attend. That's certainly more notable than his dedicating an aircracft carrier. 
I intend to revert this edit, in hopes of attracting the attention of an admin that is willing to look at the issue itself, and not throw accusations around quite so liberally. Perhaps, if you achieve a level of civility where you can do this, we can have a rational discussion on the topic and resolve the matter peacefully.",0,0,0,0,0,0
5,00c49e155f04e897,"""

Per WP:AE, you have been blocked indefinitely for persistent disruption to the project, including vandalism, disruptive editing and sock puppetry, as per Wikipedia:Requests for arbitration/Macedonia#Discretionary sanctions. If you believe this block is unjustified, please request one in the normal manner.   (talk) """,0,0,0,0,0,0
6,00a20f187531df59,". Anyone can do an in-text search for [2] and [3] and see the article does not rely mainly on one source (the publisher). In fact, the grand total of two citations referencing the publisher are for pure-facts issues such as the number of items (149,000) that are in the parts library",0,0,0,0,0,0
7,0052a7e684beeb1a,""". (On Dec 14, 2006, a NIST scientist said """"...the collapse of the towers were not of any magnitude that was seismically significant..."""". See Dr Wood's """"The Scientific Method Applied to the Thermite Hypothesis"""" paper on her tripod site for mp3 links.)""",0,0,0,0,0,0
8,0154f8bd2a16193b,"""
To quote 

- If a Wikipedia article links to this page, it is because someone is concerned that the article contains inaccurate statement(s). Such statements are followed by the following warnings: """"(dubious - discuss)"""".

The accuracy of a statement may be a cause for concern if:

    * It contains unlikely information, without providing references.
    * It contains information which is particularly difficult to verify.

Please DO NOT remove my dubious reference edits as that would be against the guidelines there, wouldn't it?""",0,0,0,0,0,0
9,03b0141f824d81f2,Always good to have the ignorant and mentally defective getting together. Die soon,1,0,0,0,1,0
10,012a75d7f2bb069e,"Queen's University 

As stated previously, I am quite pertrubed and to be quite honest, frustrated that you would remove the section pertaining to the university's traditions. Do you have a personal vendetta against the institution or dislike it? For whatever reason you removed the compliation of material regarding the Jackets and other traditions, which I find odd considering similar traditions have been allowed to remain on other university Wikipedia pages. Mindlessly deleting material without group consent constitutes vandalism and, while I am sure that your intention was not malicious, it was a short-sighted move on your part. Please allow us to discuss this in greater detail.",0,0,0,0,0,0
11,01fa2f1880fecd30,"""
Of course a true Dub will say 'depaaarted' or, more likely """"f**in' gone"""".   """,1,0,0,0,0,0
12,00a7d82371e10c5d,"""

14.07.09 """"I don't know how that got to be but i'm a big supporter of the X-files and i've like seen almost every episode and not once did it mention Mulder being the father of Scull'y baby""""

Can't have watched very carefully can you? William being Mulder's son is frequently referenced to in the final episode. Just off the top of my head:

Guard: """"What are you thinking about?""""
Mulder: """"My son. His mother.""""

Scully: """"Our son, Mulder ...I gave him up. Our son. I was so afraid you could never forgive me.""""

Not to mention the meaningful looks that Mulder and Scully give each other when the officiator at the hearing asks, """"Agent Scully, isn't it true that you and Mulder were lovers, and you got pregnant and had his love child?""""""",0,0,0,0,0,0
13,01b7c6ded99c3d19,"WP:FILM December 2010 Newsletter
The December 2010 issue of the WikiProject Film newsletter has been published. You may read the newsletter, change the format in which future issues will be delivered to you, or unsubscribe from this notification by following the link. If you have an idea for improving the newsletter please leave a message on my talk page. Happy editing!  (talk • contrib)",0,0,0,0,0,0
14,01971a826d60568a,This represents your immaturity and consistence at disruptive behaviour. — | talk,0,0,0,0,0,0
15,017353e61ad1afa4,"iPad talk page 

Why did you remove that IP's edit to the talk page? It wasn't spam...",0,0,0,0,0,0
